Key,SourceString,Comment
gamemessage_foxhuntdefendfox,你是资产。活下去！,
gamemessage_newfoxchosen,已选择新的资产。\r\n防守方：保护资产！进攻方：消灭他们！,
gamemessage_gogetflag,去占领旗帜区域！,
gamemessage_godefendflag,保卫旗帜区域！,
gamemessage_movedtoattackteam,你已被调至攻击队以平衡本局游戏！,
gamemessage_movedtodefendteam,你已被调至防守队以平衡本局游戏！,
gamemessage_playermovedoutofyourteam,一个或多个玩家已被调出你的队伍以平衡本局游戏,not used for now because want to display specific number of people moved
gamemessage_playermovedintoyourteam,一个或多个玩家已被调入你的队伍以平衡本局游戏,not used for now because want to display specific number of people moved
gamemessage_preparetoattack,你是攻击方——回合即将开始,
gamemessage_preparetodefend,你是防守方——回合即将开始,
gamemessage_youareattackerred,你是红队/攻击方,
gamemessage_youareattackerblue,你是蓝队/攻击方,
gamemessage_youaredefenderred,你是红队/防守方,
gamemessage_youaredefenderblue,你是蓝队/防守方,
gamemessage_laststandactivated,最后一战已开始！,
gamemessage_playersmovedintoteam1,1名玩家已被调入你的队伍以平衡本局游戏,
gamemessage_playersmovedintoteam2,2名玩家已被调入你的队伍以平衡本局游戏,
gamemessage_playersmovedintoteam3,3名玩家已被调入你的队伍以平衡本局游戏,
gamemessage_playersmovedintoteam4,4名玩家已被调入你的队伍以平衡本局游戏,
gamemessage_playersmovedoutofteam1,1名玩家已被调出你的队伍以平衡本局游戏,
gamemessage_playersmovedoutofteam2,2名玩家已被调出你的队伍以平衡本局游戏,
gamemessage_playersmovedoutofteam3,3名玩家已被调出你的队伍以平衡本局游戏,
gamemessage_playersmovedoutofteam4,4名玩家已被调出你的队伍以平衡本局游戏,
gamemessage_unexpectedflagplacementerror,放置旗帜时发生意外错误，回合重启,
gamemessage_flagcarrierdiedorleft,旗帜携带者在放置旗帜前死亡或离开，回合重启,
gamemessage_flagplacementoutofboundserror,旗帜放置在界外，回合重启,
gamemessage_foxleftgame,资产离开游戏且无法找到替代者。,
gamemessage_flagcarrierleftgame,旗帜携带者离开了游戏，无法找到替代者,
gamemessage_roundrestarted,回合将在片刻后重启,
gamemessage_cantrestartroundnow,请求重启回合，但目前不是有效时间。\r\n请求已忽略,
gamemessage_waitingforspawns,仍在等待玩家生成——请离开生成点,
gamemessage_bluewinsmatch,蓝队赢得了比赛！,
gamemessage_redwinsmatch,红队赢得了比赛！,
gamemessage_matchistie,比赛平局！,
gamemessage_scoresstandby,请稍等，分数正在准备……,
gamemessage_nextrounddecider,下一回合将决定胜负,
gamemessage_noteamscores,本局未计入队伍分数,
gamemessage_noplayerscores,本局未计入玩家分数,
gamemessage_noscoreforyou,本局未计入你的分数,
gamemessage_kickedcosnotclicked,由于多次未选择插入点，你将被踢出。下次请点击！,
gamemessage_warnedcosnotclicked,"你未能选择插入点。下次请在其他人点击时点击白板",
missionsetting_autoswap_0,否,
missionsetting_autoswap_1,是,
missionsetting_autoswap,自动交换队伍,
missionsetting_showbearing,显示目标方位,
missionsetting_showbearing_0,否,
missionsetting_showbearing_1,是,
missionsetting_showdistance,显示到目标的距离,
missionsetting_showdistance_0,否,
missionsetting_showdistance_1,是,
missionsetting_continuousgamesbeforereadyroom,比赛场次,
missionsetting_captureradius,旗帜占领区半径（米）,
missionsetting_captureheight,旗帜占领区高度（米）,
missionsetting_flagplacementtime,旗帜放置时间（秒）,
missionsetting_showcardinaldirection,显示方位角（NNE等）,
missionsetting_showcardinaldirection_0,否,
missionsetting_showcardinaldirection_1,是,
missionsetting_capturetime,占领所需时间（秒）,
missionsetting_attackersneededtocap,占领所需的最少攻击者数量,
missionsetting_defendersneededtodefend,防守所需的最少防守者数量,
missionsetting_forcedtas,指定游戏模式,
missionsetting_forcedtas_0,否,
missionsetting_forcedtas_1,总是DTAS,
missionsetting_forcedtas_2,总是Fox Hunt,
missionsetting_showinrange,显示在范围内时,
missionsetting_showinrange_0,否,
missionsetting_showinrange_1,是,
missionsetting_showcapturing,显示占领状态,
missionsetting_showcapturing_0,否,
missionsetting_showcapturing_1,是,
missionsetting_captureifmoreattackersthandefenders,当攻击者比防守者多时开始占领,
missionsetting_captureifmoreattackersthandefenders_0,否,
missionsetting_captureifmoreattackersthandefenders_1,是,
missionsetting_minplayersoneachteamfordtas,触发DTAS模式所需的每队最少玩家数,
missionsetting_balanceteams,每回合平衡双方队伍,
missionsetting_balanceteams_0,否,
missionsetting_balanceteams_1,是 (轻微调整),
missionsetting_balanceteams_2,是 (积极调整),
missionsetting_balanceteams_3,是 (始终调整),
missionsetting_displayscores,显示自定义分数,
missionsetting_displayscores_0,否,
missionsetting_displayscores_1,是,
