"Hammer1","Hammer"
"Hammer2","Hammer"
"Hammer3","Hammer"
"Hammer4","Hammer"
"Hand","Hand"
"Harbinger","Harbinger"
"Hawk","Hawk"
"Heart","Heart"
"Heat","Heat"
"Hell","Hell"
"Hero","Hero"
"Hope","Hope"
"Hound","Hound"
"Hurricane","Hurricane"
"Hydra","Hydra"
"Hymn","Hymn"
"Ice","Ice"
"Infestation","Infestation"
"Inflection","Inflection"
"Iron","Iron"
"Jester","Jester"
"Justice","Justice"
"Key","Key"
"Keeper","Keeper"
"King1","King"
"King2","King"
"King3","King"
"Kingdom","Kingdom"
"Knife1","Knife"
"Knife2","Knife"
"Knife3","Knife"
"Laughter","Laughter"
"Law","Law"
"Lightning","Lightning"
"Mask","Mask"
"Meditation","Meditation"
"Mercenary","Mercenary"
"Misery","Misery"
"Mist","Mist"
"Monk","Monk"
"Moon1","Moon"
"Moon2","Moon"
"Morning","Morning"
"Mother1","Mother"
"Mother2","Mother"
"Mountain1","Mountain"
"Mountain2","Mountain"
"Night1","Night"
"Night2","Night"
"Nightmare","Nightmare"
"Ocean","Ocean"
"Omen","Omen"
"Palace1","Palace"
"Palace2","Palace"
"Paramour","Paramour"
"Peak","Peak"
"Pestilence","Pestilence"
"Piper","Piper"
"Plague","Plague"
"Polemic","Polemic"
"Pommel","Pommel"
"Precipice","Precipice"
"Priest","Priest"
"Prince1","Prince"
"Prince2","Prince"
"Prophecy","Prophecy"
"Prophet1","Prophet"
"Prophet2","Prophet"
"Pyre","Pyre"
"Quake","Quake"
"Queen","Queen"
"Rage","Rage"
"Rain","Rain"
"Reckoning","Reckoning"
"Redundancy","Redundancy"
"Retribution","Retribution"
"Rhyme","Rhyme"
"Righteousness","Righteousness"
"Ring","Ring"
"Rose1","Rose"
"Rose2","Rose"
"Rule","Rule"
"Saga1","Saga"
"Saga2","Saga"
"Savior","Savior"
"Scepter","Scepter"
"Scourge","Scourge"
"Seer","Seer"
"Sentiment","Sentiment"
"Sentinel","Sentinel"
"Serpent","Serpent"
"Shadow1","Shadow"
"Shadow2","Shadow"
"Shadow3","Shadow"
"Shark","Shark"
"Shelter","Shelter"
"Shield1","Shield"
"Shield2","Shield"
"Shriek1","Shriek"
"Shriek2","Shriek"
"Shroud","Shroud"
"Skeleton","Skeleton"
"Skies","Skies"
"Skull","Skull"
"Sky1","Sky"
"Sky2","Sky"
"Slap","Slap"
"Slayer","Slayer"
"Sleep","Sleep"
"Slumber","Slumber"
"Smoke","Smoke"
"Snake","Snake"
"Song1","Song"
"Song2","Song"
"Soul","Soul"
"Spark","Spark"
"Spear1","Spear"
"Spear2","Spear"
"Speck","Speck"
"Spider","Spider"
"Stallion","Stallion"
"Stank","Stank"
"Star1","Star"
"Star2","Star"
"Star3","Star"
"Steam","Steam"
"Steed","Steed"
"Steel","Steel"
"Storm1","Storm"
"Storm2","Storm"
"Straggler","Straggler"
"Stranger","Stranger"
"Strike","Strike"
"Stripe","Stripe"
"Summer","Summer"
"Swamp","Swamp"
"Swerve","Swerve"
"Sword","Sword"
"Teardrop","Teardrop"
"Tears1","Tears"
"Tears2","Tears"
"Terror","Terror"
"Thorn","Thorn"
"Throne","Throne"
"Thunder","Thunder"
"Tomb1","Tomb"
"Tomb2","Tomb"
"Tome","Tome"
"Tenement","Tenement"
"Tooth","Tooth"
"Tower","Tower"
"Trial","Trial"
"Typhoon","Typhoon"
"Vagabond","Vagabond"
"Valley1","Valley"
"Valley2","Valley"
"Vanguard","Vanguard"
"Vengeance","Vengeance"
"Wagon","Wagon"
"Wail","Wail"
"Walk","Walk"
"Walker","Walker"
"War","War"
"Warrior","Warrior"
"Whale","Whale"
"Wheel1","Wheel"
"Wheel2","Wheel"
"Whisper","Whisper"
"Widow","Widow"
"Winter1","Winter"
"Winter2","Winter"
"Witch1","Witch"
"Witch2","Witch"
"Witch3","Witch"
"Wolf1","Wolf"
"Wolf2","Wolf"
