key,source,target
/27CC787943BA10F1A1B930911AB9ED09,0,0
/3EF3EEAB478465E970C835A0AE55F05C,0,0
/81564B7F43B1BB2072563398636D97F3,0,0
/B922EA3C40987CC3D797D2AFA0CCA8D2,0,0
/14B5A3FD4F2BCDBE97A05E8BD437483B,"0% — Camera is positioned BETWEEN the character's eyes.

100% — Camera is positioned at the character's RIGHT EYE.","0% - 视角位于角色双眼之间

100% — 视角位于角色右眼."
/AB2459BF40017BDC6DC95081277AF92F,0.0,0.0
/D803D8BB4A724A51D07530821FDF69C6,0.1,0.1
/6A3BD10446D59AA4FA53ECBCC50F9E55,0.2,0.2
/A0D6D6EA40DB4977FE6C75BCC259DC19,0.35,0.35
/FC9FA1D0409B40FE4A4AE7BB5DE2285F,0.4,0.4
/2624DDFA410C0A648BED11A98D44629F,0.5,0.5
/35FFC27447DAE71D92EE11A71BFAA025,0.5,0.5
/8EA42C3E438EC3088A9625A1693D2621,0.6,0.6
/9EF73845446C5D12F7012DA223D923CD,0.6,0.6
/6699D14144E52C0A7F73C4B5AF5F7035,0.8,0.8
/89FB3DB445FDB753272CCBAE7F3D2816,0/8,0/8
/670BF7924BA679EDE1447599FC13F10E,00,00
/7BB23E78454E2396611E3681848B2820,00,00
/7F4DD3B248C358F82B2EE896D81B0030,00,00
/A8517B7447E4CED98E8E05AC14CC1060,00,00
/B09277E743D42172C9A5FE84C414E524,00,00
/BC7E935440A24BDAD01E28A7D5EA390F,00,00
/C306F05C4F8D35395DD4C3BEF479BB7E,00,00
/D09A2CE84B586E2218822AA668CBBCA9,00,00
/D0E4875944F5130316E786816C254DE9,00,00
/805F47B14678A16033B85994C5CDDBB6,00 x ,00 x 
/DEBB5450479674599A3AEBBC1B60F33B,00%,00%
/FEC169094882C5022B286188DF736B79,00%,00%
/079C84B443D4CC6700939D9CB271D4E4,00/00,00/00
/6255F15045A5625F39F95BB2083BF177,000,000
/1AB5151140FDCB01F99240AD6CEE72AD,0000,0000
/2709E9214CC6E9CBC7198B8E7F5A3D61,0000,0000
/1B2DD57547297CCAD56A9AA568D8D925,00:00,00:00
/844C6A884D831CEFB6F253A4A6723C61,00:00,00:00
/88F8D31A474E210F1F2AB5A4DBC10631,00:00:00,00:00:00
/A87508DB453F8054D19641AA5FF55A4D,0300,0300
/AC994C924956CBFCE825F3A116FBA6E4,0300,0300
/FB32504D46088473F1F173AD254F5684,0300,0300
/EEA96CEA406B6A788FEF449DD59F4356,0300 hrs (GMT+3),0300时(GMT+3)
/E056612A405B4A10CA3BDBAF4D4ACD7E,0600,0600
/1ECDC3A9439BB75F97DFAC85F725BAA0,0900,0900
/3CC570EF49AE5874DA30AF971ED48245,1,1
/40D98A46449FBD502C7D2C9599A087DA,1,1
/5D1FA6734B31BB2E04D99E93F8C838B1,1,1
/65D1150B412D0CD2A7540397F55F17FD,1,1
/8B537B674C4906424A3E6BA214CB8A5E,1,1
/F9E27F0848CCE8F56E7F008A278793A7,1,1
/FC12728C4448F7E82BAE6A93DE19E7FD,1,1
/A169F10D440E61D36C35A5B3A2B51877,"1. Exit to desktop.
2. Unplug the input device.
3. Plug it back in.
4. Launch the game.","1. 退出到桌面。
2. 拔下输入设备。
3. 将其重新插入。
4. 启动游戏。"
/0564E3D441D6AE4A69E73FB7863761C7,"1. Go to Control Panel › Sound › 'Recording' tab
2. Right-click the unused input device and select 'Disable'.
3. Repeat for all unused input devices.","1. 转到控制面板 › 声音 › '录音' 选项卡
2. 右键单击未使用的输入设备，然后选择“禁用”。
3. 对所有未使用的输入设备重复上述步骤。"
/CEAD1A424C3E5AA19D71778C434E5F5F,"1. Go to Control Panel › Sound › 'Recording' tab
2. Right-click your voice input device and select 'Properties'.
3. In the 'Advanced' tab, look for the option ""Allow applications to take exclusive control of this device"". 
4. Try disabling/enabling it (i.e. if the box is checked, try unchecking it and vice versa).","1. 转到控制面板 › 声音 › '录音' 选项卡
2. 右键单击您的语音输入设备并选择“属性”。
3. 在“高级”选项卡中，找到“允许应用程序独占控制此设备”选项。 
4. 尝试禁用/启用它（即如果复选框被选中，请尝试取消选中它，反之亦然）。"
/42C795514397526F4EAA70B8245E9984,1. Make sure the voice input device you would like to use is set as default in the following locations:,1. 确保您要使用的语音输入设备在以下位置设置为默认设置：
/536D0F374EB3ABA9BC49AD8CFF75FA76,"1. Type ""Microphone Privacy Settings"" on the Windows search bar and open it.
2. Make sure Allow apps to access your microphone and Allow desktop apps to access your microphone are on.
3. If they are on, disable and enable them again.","1. 在Windows搜索栏中输入并打开“麦克风隐私设置”
2. 确保“允许应用程序访问您的麦克风”和“允许桌面应用程序访问您的麦克风”处于开启状态。
3. 如果它们已打开，请禁用并重新启用它们。"
/7B5493724ECB84D701AB99A96AE55F31,"1. Within GROUND BRANCH, go to Settings › Audio
2. Under Communications, click on Voice Input Mode and select ""Toggle"".
3. Hit APPLY.
4. Change Voice Input Mode back to ""Push To Talk (PTT)"" and hit APPLY again.","1. 在GROUND BRANCH中，转到设置 › 音频
2. 在“通信”下，单击“语音输入模式”并选择“切换”。
3. 点击应用。
4. 将语音输入模式改回“按住讲话(PTT)”，然后再次点击“应用”。"
/0B21B0D444FD1CF41E7407B61A01F356,1.0 (Default),1.0(默认)
/27A7ABA74FE94AD4094A66B4BAAC2644,1.2,1.2
/C41CD9274FDC4F5D13D2529684E8C316,1.4,1.4
/44625583440D4845E03CFE9B9B24DD99,1.5x,1.5x
/908CFF8543A0A2D4B88B56ACFBB4A6B2,1.8,1.8
/A8A61C5A44BEDB00D2D575924DDFD531,10,10
/2B0B5F764A9CFD4139BE8DBB8AD2C4C9,10.0 (Insane),10.0(疯狂)
/1CC9F12D4FB3500AB4112F9059BCD6A9,100 mlux,100 mlux
/11F5EA48439301A80CDEC1BC39F28821,100%+,100%+
/221556244063794E9F53DB9357D85A6F,11-20,11-20
/259E9970460EF7F185E968B3B5628C77,11x and above,11x及以上
/D51AF0844646A3A774B714B6CF76B5FE,12 Gauge Ammo Pouch,12号霰弹枪弹药袋
/5F6602EE4BFDD2A34D2A8F8E71D85193,1200,1200
/09F7CC03417C6FCDAA9831AF314E642A,12345,12345
/CE30D1FC43BC50C5E6376C8C0D3017F0,12345,12345
/813D4A524D48321F7F97D184F9036855,12:00,12:00
/C0A5343A41C87D8B6E9A0ABAE6C1F509,12:00,12:00
/E5A507BA4F57492A2CAEEF81779B0280,"12gauge, 00","12号霰弹枪弹药, 00"
/240714B14D8B53C956297C83947001C9,"12gauge, 00, Spent","12号霰弹枪弹药, 00, 耗尽"
/BC0876424DACDE2C3C059A95B341CF51,13,13
/65989471472AB307279E4586812EC0A1,1500,1500
/0C04655F406E7BD8246C0896AAF7086B,16,16
/7088C30C4D853CCAC5ADCE998083A230,16x,16x
/F3BD4A144467AF840E66479981195FC8,1800,1800
/A3B5CB324306299FC11022A3354B894F,1P78 Kashtan (2.8x),1P78 Kashtan (2.8x)
/CD73042B4D8EC3983A25A7AC5FBA6EF2,1x (Unmagnified),1x (无放大)
/1820AC5540D6C913E396548AA34A5D2B,2,2
/52FBD6FB4C47E612AAC627A0AA7E0517,2,2
/66C7D8DF4B5A5D5F189764975EDFC130,2,2
/A57E4A7D44DA67ABC38039A96723F21A,2,2
/A86E5C6D487DC6977ECDEEB0510AEC83,2,2
/BA9363044F15714B91FE6DA961767C21,2,2
/CC1381FF47FD72AC77E0149CFA410876,2,2
/1DA066ED48967A3E86B1489ECF3A4B0C,2 mlux,2 mlux
/85AD39774CA0F41DAD5FA087AA34B146,2. Disable unused input devices:,2. 禁用未使用的输入设备:
/AC5E53B4429AE531DAAE44979CFDED67,2.5x,2.5x
/4BE914BF4598F0EBCE3CCA8C3070798B,2018,2018
/286494E149850AA43075079DD0E70EC2,21-30,21-30
/F536ADE74C6D59BB785DB58920845212,2100,2100
/B4CAE28B470C5BFDD19E5DA69F1ED42A,23,23
/5C7C0B6245D7778E79C9E0BB8D43F617,24-Hour Military Time,24 小时制（军用时间）
/67C7B2FD4705811BF86F658EE5048342,24-Hour Military Time,24 小时制（军用时间）
/6E7A0442427ED09CBF42079F6873E92B,24-Hour Military Time,24 小时制（军用时间）
/A89034B541B8110B25F112B2EFBEEFD7,24-Hour Military Time,24 小时制（军用时间）
/DD705DB840C8BFE8485EF6B61369D83E,24-Hour Military Time,24 小时制（军用时间）
/EE952A6548E32886BABF23AC33EA32A7,24-Hour Military Time,24 小时制（军用时间）
/FCD03B674F43CABEEA23B4B1423F3DF0,24-Hour Military Time,24 小时制（军用时间）
/B85851C747D61FF9A5141E8918EA42A9,2X,2X
/C88B49D34BDA4AF939B058B96E35827C,2X,2X
/E13F6F52430FFF41B4AA63832AD8280B,2X,2X
/2088EFF44FD4FD9679304CBE44314E7B,2x,2x
/3A8FFF06488A158D89BB7185F53315DA,2x,2x
/121628EA467103B6F403DBB31B220194,3,3
/85C750AC4343013F449CDDA028166D61,3,3
/89DB361E4936749273BEB291FCFAB987,3,3
/AA4D38D447B07873AE726B870AD14E70,3,3
/B3EB4046465C65B4D6F49DB516ABE882,3,3
/B71BCFA34857CB2DBAA346970B4E2375,3,3
/33E96064487CDBE99C32868FA7384857,"3. Enable and then disable the VOIP ""Toggle"" mode in-game:",3. 启用然后禁用游戏内VOIP的“切换”模式:
/2470080C458E9AD82CF9408BE5345FB2,31,31
/0DFBFFFD4E1F28A8149818A3AA27009E,31-40,31-40
/1F20E35D457195A4A63FD4B162881656,"31.3 N, 50.1 E","31.3 N, 50.1 E"
/4362CB7E40ACB5A7B0E91FBF1B3F990A,3x to 5x,3x到5x
/1548129E408E202DAD094CB0A8C3AF1B,4,4
/7A3A1B51499190678991BCB8E1CA8F0C,4,4
/8F37F6B840A9A114929EBF9424852BD9,4,4
/C57407AA4853735F194761AEBA04462A,4,4
/077016024E6125752B5ABD9FC4D30B93,4. Change microphone privacy settings:,4. 更改麦克风隐私设置:
/D4EB2C444E452045F16EAF9FA0DAFA84,"4.6x30mm, FMJ","4.6x30mm, 全被甲弹"
/FB51E94F40C77535AB39E389A385AA31,40cal,.40口径手枪弹药
/5EA4030A41ABE45FC8E77480E2B98A4C,41-50,41-50
/CAE81096420A740ECADDAB885D72A232,4x,4x
/26C80D78460DFD88F205C7ADDF323E19,5,5
/FC58FD2140655EC4F7967B81A1A7BD69,5,5
/4E1E58E0406ECD59492E7DBC31B5803A,"5. Try disabling/enabling ""Allow applications to take exclusive control of this device"":",5. 尝试禁用/启用“允许应用程序独占控制该设备”:
/157165794103EB9DE10AB4A743C5CED3,"5.45x39mm, FMJ","5.45x39mm, 全被甲弹"
/E7DF902F48674347E4720AA7B2533DC9,"5.45x39mm, FMJ TRACER GREEN","5.45x39mm, 全被甲弹, 绿色曳光弹"
/5814EAAD4B4FA78B550B0BBB70665168,"5.45x39mm, FMJ TRACER ORANGE","5.45x39mm, 全被甲弹, 橙色曳光弹"
/8CAAEACC4ADCFFB5A4AEC39CF20490F4,"5.45x39mm, FMJ TRACER RED","5.45x39mm, 全被甲弹, 红色曳光弹"
/BD186557480B5340E632B7A275699055,"5.56x45mm, FMJ","5.56x45mm, 全被甲弹"
/02ACD6274ECCD9424B3039A6704604D9,"5.56x45mm, FMJ TRACER GREEN","5.56x45mm, 全被甲弹, 绿色曳光弹"
/0F75D6694AFDDBCC109C71B313A5CFAF,"5.56x45mm, FMJ TRACER ORANGE","5.56x45mm, 全被甲弹, 橙色曳光弹"
/C840E9BA48757E330E5A12B888CFFEB4,"5.56x45mm, FMJ TRACER RED","5.56x45mm, 全被甲弹, 红色曳光弹"
/E14B1797406754D2003D9D86E221F6E9,6,6
/C16AA89E401AF375DAA1A1806734D884,6-10,6-10
/3A57CF1147584FDAC160A9A23F639122,6x to 10x,6x到10x
/B80547264EF8B078FB9DBD87C68F0206,7,7
/F96A7D7F4E9E5B6DDDA5AA8CFF5428F7,"7.62x51mm, FMJ","7.62x51mm, 全披甲弹"
/B14D18B543E1D34137500EAD352A8C0F,"7.62x51mm, FMJ TRACER GREEN","7.62x51mm, 全被甲弹, 绿色曳光弹"
/7ECD690C46DF26F3A7ED7D99C3F8AF54,"7.62x51mm, FMJ TRACER ORANGE","7.62x51mm, 全被甲弹, 橘色曳光弹"
/4B746FBD48895E9C543F0BAF5C55C007,"7.62x51mm, FMJ TRACER RED","7.62x51mm, 全被甲弹, 红色曳光弹"
/7C228D5A49451726559674A8B16A43CC,"7.62x51mm, FMJ, Spent","7.62x51mm, 全被甲弹, 已耗尽"
/4F2EA0E6434126772E913AA40DA03A82,75,75
/F26BE0BA41EFCDA7A77C55B139CFA8FB,75,75
/963965BB433EB1BC04A35E910567CC37,762x51 Ammo Pouch,7.62x51mm步枪弹药
/062CAB244F840C37857F088C8135F8EB,8,8
/9E169F304E8795958CCDBB95C04289D4,8,8
/B5B7E3AA467F24B47CD908A1A87150DC,8x,8x
/477B4F784F3757BF3AEF4E87B9613004,9mm Suppressor,9mm消音器
/D8AD1C2E4FD7A2A703EC2ABCA9C3737D,9×19mm,9×19mm
/B5B66E524AD86AE68DD959B559930663,< Previous Target,< 上一个目标
/28F8876948043E469A52CDA68603BE90,<Message about transition>,<Message about transition>
/49A9DF4B41074DCCEE8961813636B82A,<Mission Name>,<Mission Name>
/2198290A4C81C516CC4993BEA870CA94,<Mission Script>,<Mission Script>
/817FA5A84CC69B124ED149910D70FC20,<Ping>,<Ping>
/E02F776A46B3F6078936E8A21486880E,<Player Name>,<Player Name>
/F062608A463199A67BE43A86B8D5C25A,<Player Name>,<Player Name>
/2685F72F4F8263D59711F7B8625295CA,<PlayerName>,<PlayerName>
/FFE6DFC14FF251CD387990BC90FA886F,<PlayerName>,<PlayerName>
/419B87664B483433CD80DD8F26E50ABF,<Setting>,<Setting>
/3911DC4147535BA9DABF9B93DB29309D,<Team Name>,<Team Name>
/794B988645600E63A9A12B86170E728F,<Team Name>,<Team Name>
/245664644140E0D9260A4B84079AB6FF,<UniqueId>,<UniqueId>
/6D7B22094137FFF395F0E1AFE9E405C6,<Value>,<Value>
/3E55FB014412F47485C55CB7ED8D41B9,<display name>,<display name>
/D5FBAD464479275CCA46CD9BC7506AF1,<display name>,<display name>
/28A27D2A45C20329A37F46B35CCD7169,<secs>,<secs>
/8B6244194445BEE3BFAEF79A0FA84D01,A   B L A C K F O O T   S T U D I O S   G A M E,B L A C K F O O T   S T U D I O S制作游戏
/EB72878A449D264DF83C288E3E9B2808,A Ram Airways® 747 airliner sits at the end of the runway of a small under-developed airfield somewhere in the Horn of Africa.,一架Ram客运公司®的747客机停在非洲之角的一处简易机场跑道上。
/E71E02C54820F70620456689B33DC357,A checksum on the client didn't match one received from the server.,客户端校验与从服务器接收到的校验不匹配。
/7AF597A74507B217780E1BBF416D82A4,A closed-off arena for quick firefights.,快速近距战斗的竞技场。
/A4881F324ED11A7FD241BEAAA58740DE,A closed-off arena for quick firefights.,快速近距战斗的竞技场。
/6F2FE92D435F31AAE460408D1018E35B,A condensed version of the mutator filename. Click 'Browse To File' to open the folder containing the mutator.,突变器文件名的简略版本。点击“浏览文件”可打开包含该突变器的文件夹。
/328638D34CA34D4C87BC61BEAAA57980,A file by that name already exists.,文件名已被使用。
/9887A5A24D37F42EEA2D94BCA069EEEB,A file by that name already exists.,文件名已被使用。
/F18F1CE24A7476C7F7D018AF9AEA1C9B,A file by that name already exists.,文件名已被使用。
/1CFDCBE941614D63FB0C96B0CF3CEA80,A globally unique identifier (GUID) on the client didn't match one received from the server.,客户端上的全局唯一标识符（GUID）与服务器接收到的不匹配。
/07E9C4684B3208EEB00ED6BDFA81F08F,"A horizontal FOV of more than 90° is not recommended.

In addition to camera distortion (""fisheye"" effect), sights may seem farther from the camera than expected, making them difficult to use.","不建议将水平FOV设置为大于90

会导致视角产生畸变(鱼眼效果),瞄具也会相对较远因而不便于使用."
/AF2C9115400DCAF8AC928EA726CC50A9,"A natural gas carrier en route to an oil platform off the Eastern coast of Africa, this ship's multi-level accommodation overlooks its 170-yard deck.",在多层住舱俯瞰下的一艘有着170码甲板的天然气运输船正在前往非洲东海岸附近的一个油井平台。
/A97D927F4C53329A8538B48A2763C1B7,A package is missing on the client.,来自客户端的封包丢失。
/B80F1947424B3038C9866F91863BD30B,A package is missing on the client. Download from {0},来自客户端的封包丢失，正在从{0}下载。
/F6E884D74CA30C036E55079D1C32984A,A passive volume that can be used by a game mode to indicate areas where to spawn extra AI,用于指定刷新额外AI区域的体积
/153FD6624D168F4CCC230FABE320AF9B,A peaceful downtown square now littered with empty cars and emergency vehicles. Fight on the streets or the subway station underground.,宁静的市中心广场到处都是空置车辆和应急车辆，战斗正在街头和地铁中进行。
/08937C694876B847069D1FB1F3701F82,"A temperate forest with scattered man-made structures surrounds the central compound: a multi-building, railroad-fed depot.",温带森林中一处有着各种建筑环绕下的铁路货运站。
/CA0162F246DC20E0658818AF77326C58,A05,A05
/88D17ABF4D695D2F41F5A69F8D098B77,ABC,ABC
/B281FE2A46A568C6486109B9F05C6A08,ABC,ABC
/E6B83BFD502F4AFC8DBC6B7C0021E8B4,ABC,ABC
/181668184025A061016A1EB6F46F866E,ACCESSORIES,配件
/578D7F9B421B09CD0CE641BB32D3C047,ACCESSORIES,配件
/6B1C958841A06775DF6A01B53E247001,ACCESSORIES,配件
/E5A9164240C2A1433CE166812799CA34,ACCESSORIES,配件
/ECC19C7B492E3251BFA4F9B6FA5EE756,ACCESSORIES,配件
/E1F2A5DD48C5A5A7F87D8E99B69A532A,ACCURACY,精度
/C15266AF4C509B8FE815F1B880F51B9A,ACOG (4x),ACOG (4x)
/F8FE2475416B4B58709D0FBFA44D5CCC,ACOG (6x),ACOG (6x)
/97CC15BE4CC625BC53536A9F95F3A56E,ACTION BUTTON,动作按钮
/2FF68E064CD9478F907D626C16A989FA,ACTUAL NAME:,实际名称:
/0E9AD03B44C69BD3DFDAC0BA369BC0E7,ACU Coat,ACU作战服
/6FE95996452933C7C9411688634B69D6,ACU Coat (Rolled),ACU作战服(卷袖)
/403FBD06477F9F81BB77078E2C5A5294,ADD,新增
/D5D34CEA4017E1C9AEB161856FAFA39A,ADD TO ALL {BlackOrWhiteList}S,新增到所有{BlackOrWhiteList}中
/BF78CC2A4DAF301864B16FA8F02FACF4,ADD TO ITEM,新增到物品
/B26C3BD34F3AFA9D1426C0879EFCA183,ADD TO {BlackOrWhiteList},新增到{BlackOrWhiteList}中
/BEA658B24F1A528E7BC1DDB07A6790AD,ADDITIONAL CONSULTING,外部顾问支持
/485A2A3441B7A671066EB2910B1265AC,ADDITIONAL DEVELOPMENT & SUPPORT by,外部发展和技术支持
/F8C8AB914791A0B6E864AAA2D5C09E3D,ADDITIONAL MARKETING,外部市场营销
/44D4E02F467EC636659D1C8F88E512A3,ADDITIONAL PROGRAMMING,外部项目支持
/14EB86A94E9180D63FFDF0AC068D69CA,ADMIN,管理员
/40B5D8904AF1D9A799A7699D32EB7AF3,ADMIN,管理员
/AE06BDD24AE1D938134FEE9FB7CF50D3,ADMIN LIST,管理员列表
/58414B0B4D25D9AF64CE7CB4FE548573,ADMIN PANEL,管理员面板
/0E00E31D43C794EA892C11A2210A6511,ADVANCED,高级
/60C876724F4C8AB8CAB8D39849997D5C,ADVANCED,高级
/D4796B6042C6CE2ECD3501BA090A93AA,ADVANCED,高级
/7A62778A4E5D400DF4DD259E0E42FE37,AFTER X ROUNDS,在X轮后
/74761EE841B4FBC360582686A032EB3F,AI Guard Point,AI警戒点
/6857DED4445BB8EB191E09A2012D0953,AI Hotspot,AI热点
/E54CA3E542D89B8FE746CDA5B50E85F8,AI PROPERTIES,AI参数
/298FB4CA436FD8D00988B8AF993DC0E8,AI Patrol Route,AI巡逻点
/7375B955403D572C4B4A54838086C15F,AI Spawn Point,AI刷新点
/CA4B8C81462660CB0C013F990D486AD2,AK Rail Mount,AK导轨支架
/FA9CC2034834DE7D779887AAD37296F3,AK-105,AK-105
/646347044B1A62C7FF3EAFBF160D10E6,AK-105 Alpha,AK-105 Alpha
/CF24FE064B81313F1CD83DBA66E750FB,AK-74 30rd [5.45×39MM],5.45x39mm 30发聚合物弹匣(AK74)
/C0899DB0495458F6C55580A345F734EB,AK-74M,AK-74M
/552AF2C74D5F138ABD5E0CA337B2B584,AKM,AKM
/E663F98F4889E7EFD4F3068C45D77819,AKM 30rd [7.62×39MM],7.62x39mm 30发弹匣(AKM)
/39D07AC34DB04EA7C1C2579F91F7338B,AKS-74U,AKS-74U
/B65A6D9B48D6084E6C764A9304165038,AKS-74U Alpha,AKS-74U Alpha
/0C7D81E9474C6583850F82B7833CE494,ALLOWED,允许的
/A5CEEF0141D7EA76B926629B742483E0,ALLOWED,允许的
/FC172D754FCB73E771C632A627CE7EA9_TextAMPM2,AM,上午
/8A8924E54FEA833A84E729A2DA12F764,AMMO,弹药
/F643095241A237F052D8E384D0DDB729,AMMUNITION,弹匣包
/241548444B851E13D435B388600CB568,AN/PEQ-15,AN/PEQ-15
/55F77BFD41A9E172C5BF9F88309895DD,AN/PEQ-15 (Black),AN/PEQ-15(黑色)
/9E522B0D45E4879C71050AAD08A7A611,AN/PEQ-15 (Tan),AN/PEQ-15(泥色)
/EA6836A74F55E2088B8073AC7A998918,AN/PVS-15 (Green),AN/PVS-15(绿色)
/5718734847926CB668058C9C5B56646E,AN/PVS-15 (White),AN/PVS-15(白色)
/DA07D9894817981026F707B714037E3F,AN/PVS-22 UNS,AN/PVS-22夜视镜
/8292D78C4A3BFB9B749C62AA1E7040E0,ANIMATIONS,动画
/5BA21780499A2441BA5D2E94F50A64E8,ANTI-ALIASING,抗锯齿
/161F7C914A133AC23486E2A1D858262B,AOR-1,(海豹)沙漠迷彩AOR
/EF6B37574C73BEE4AD600F9A0FCCA6FE,AOR-2,(海豹)丛林迷彩AOR
/0EC574B445784CCB9686109B39001556,APPEARANCE,外观
/47D6DA7B412C5FA982C5B3802DA26E14,APPEARANCE,外观
/9AA10FB5460246A679320894BF06D285,APPEARANCE,外观
/034641764A125521CFDA288B3764CB53,APPLY,应用
/13A47B0C41F1DB6D4C1C298BC3C7D562,APPLY,应用
/4D6945A74554E06BEBCFCAAA0CD7585B,APPLY,应用
/5F668017413B95E8D0B647BA67734FB8,APPLY,应用
